policy,reference,condition,mean_delta,ci_low,ci_high,n_pairs
dagger,bc,delay_0,0.0019555541643815526,-0.03679493908368301,0.040073547545449235,8
dagger,bc,delay_2,0.046470331404128394,0.005487329086117539,0.09437922007010281,8
more_expert,bc,delay_0,0.01602270846820002,-0.005608532230103348,0.04581826417482988,8
more_expert,bc,delay_2,-0.005527534503050392,-0.01988701574077816,0.0043068652352190855,8
more_updates,bc,delay_0,-0.001606276600090935,-0.008661346106231763,0.004388681830621744,8
more_updates,bc,delay_2,-0.00024174289231168513,-0.005998883637662857,0.004783230425381472,8
random,bc,delay_0,0.10853913309858731,0.02633969404810589,0.1979698172829828,8
teacher,bc,delay_0,-0.06807328744365834,-0.09695983161049457,-0.037712991155789466,8
zero,bc,delay_0,0.1950506522890217,0.16359205097750035,0.2351337570321923,8
