policy,condition,seed,return,final_distance,last10_mean_distance,success
random,delay_0,10000,-38.89707982402235,0.10594753785601477,0.13512841072588536,0
random,delay_0,10001,-46.90537686749986,0.1109478283306087,0.12640686618824043,0
random,delay_0,10002,-44.61930889023456,0.34785082356640284,0.3648573892044342,0
random,delay_0,10003,-43.09861561584696,0.2590741158267423,0.2449445866913425,0
random,delay_0,10004,-38.66686913498943,0.16344847508099178,0.16093556050561955,0
random,delay_0,10005,-38.18711057330575,0.008181998521527635,0.011130737139761652,1
random,delay_0,10006,-41.436442679831906,0.2121073989727744,0.1307442224389903,0
random,delay_0,10007,-44.84630877197234,0.14883897161829315,0.24352147083861925,0
zero,delay_0,10000,-18.051874677211938,0.3610593992718864,0.3610564004204006,0
zero,delay_0,10001,-15.28862244107433,0.3057382393061134,0.3057429338083582,0
zero,delay_0,10002,-10.826558628735032,0.2166190047570114,0.21660697846414717,0
zero,delay_0,10003,-10.207573769128631,0.20409333439494698,0.20410129899192908,0
zero,delay_0,10004,-15.511534658399238,0.3102115309379702,0.31021415588318557,0
zero,delay_0,10005,-10.218927276657066,0.2044179798108225,0.20441258360044764,0
zero,delay_0,10006,-12.481814865195478,0.24962787501021358,0.24962902844525137,0
zero,delay_0,10007,-12.895211462918258,0.2580128822647519,0.2579980176426486,0
teacher,delay_0,10000,-5.515944692994032,0.00030899544658999345,0.0007027040788258748,1
teacher,delay_0,10001,-7.859248382017975,0.00039369662806606944,0.0008957234126123527,1
teacher,delay_0,10002,-2.883820463935931,0.00015479507119320034,0.0003520151398469428,1
teacher,delay_0,10003,-5.8372805385430615,0.00018188123924021998,0.00041360330873833965,1
teacher,delay_0,10004,-8.149847538970786,0.00043631255046238044,0.0009925909497961612,1
teacher,delay_0,10005,-6.840144100913385,0.00021657577207627492,0.0004924454986938531,1
teacher,delay_0,10006,-6.0681766624142535,0.00019597838613913136,0.0004457985361816747,1
teacher,delay_0,10007,-4.370111613357416,0.00020885300160703834,0.0004749984702328281,1
bc,delay_0,10000,-6.11870697954116,0.06371871541147832,0.04908616498447233,0
bc,delay_0,10001,-12.458207679490362,0.11246777029427943,0.12324795757095319,0
bc,delay_0,10002,-2.8816541706036163,0.0024978075276718328,0.002496362176929059,1
bc,delay_0,10003,-6.134302230575084,0.048471868299476924,0.034087849896286986,0
bc,delay_0,10004,-12.593508160146335,0.12081672881693212,0.1320105517221671,0
bc,delay_0,10005,-7.707804504759924,0.06326146806484549,0.05769287585470258,0
bc,delay_0,10006,-8.462499599378557,0.12180884332415545,0.10612923626587138,0
bc,delay_0,10007,-5.414234700788778,0.05106763740434233,0.044605180472812096,0
bc,delay_2,10000,-14.202308302211874,0.16935768719856045,0.15842742235709822,0
bc,delay_2,10001,-13.788636491840961,0.10296044141749523,0.11217880359969619,0
bc,delay_2,10002,-5.1113682982043755,0.09210441328422601,0.07167856986082827,0
bc,delay_2,10003,-10.590347122705978,0.06987162308727018,0.07499315106282815,0
bc,delay_2,10004,-14.929741577584702,0.11832331437800994,0.11607088173578531,0
bc,delay_2,10005,-9.599002638544128,0.0430817109607884,0.0502080534330789,0
bc,delay_2,10006,-11.844503770700086,0.10034188109666405,0.10745506943454533,0
bc,delay_2,10007,-10.265213256229709,0.0891307228121616,0.10332913964046901,0
more_updates,delay_0,10000,-6.141134969125674,0.05997754599127967,0.04386941967102574,0
more_updates,delay_0,10001,-12.221104393929208,0.11880878836766812,0.1273052171989083,0
more_updates,delay_0,10002,-2.9179888419189384,0.0020824182045309407,0.0030031812824401183,1
more_updates,delay_0,10003,-6.55989988193129,0.051748693472223335,0.042470466810379165,0
more_updates,delay_0,10004,-11.940240431439902,0.13018994168007342,0.13901608178732783,0
more_updates,delay_0,10005,-7.456499910074949,0.06174014737372394,0.04957783622481384,0
more_updates,delay_0,10006,-8.387807229478963,0.10881756411231862,0.11045739426993446,0
more_updates,delay_0,10007,-4.837296194028325,0.023485572523419776,0.020806368898637788,1
more_updates,delay_2,10000,-14.126251753311674,0.09913719236087355,0.16703479835375226,0
more_updates,delay_2,10001,-14.868198187562026,0.10198973365917882,0.10701772520203581,0
more_updates,delay_2,10002,-5.066152454710714,0.07725004250950973,0.05767066607457353,0
more_updates,delay_2,10003,-10.872729717703324,0.08027668581392373,0.082980443135675,0
more_updates,delay_2,10004,-15.659784394445756,0.12417988093099341,0.11640750067621712,0
more_updates,delay_2,10005,-9.55293812114064,0.04735724342220738,0.05120444578315044,0
more_updates,delay_2,10006,-12.02261282710677,0.11100826465079693,0.11548344414691243,0
more_updates,delay_2,10007,-10.435366314111196,0.09395856829985277,0.0946081246135193,0
more_expert,delay_0,10000,-6.070065729861485,0.04229710240723815,0.032317721836371285,0
more_expert,delay_0,10001,-11.68020928730881,0.1287685859677209,0.13620172446312112,0
more_expert,delay_0,10002,-3.0863857212491372,0.0007300203153375398,0.002359521939337135,1
more_expert,delay_0,10003,-5.9546600097729625,0.02135244469138306,0.013439332242889202,1
more_expert,delay_0,10004,-11.917837666548785,0.13543177832725453,0.16508020790965744,0
more_expert,delay_0,10005,-7.953879458610818,0.059985051797609205,0.061664039407030746,0
