policy,reference,condition,mean_delta,ci_low,ci_high,n_pairs
dagger,bc,delay_0,-0.027995646086896676,-0.046380301909144335,-0.012750625957962966,30
dagger,bc,delay_2,-0.04390648938644564,-0.06996703565194565,-0.018152303793025935,30
more_expert,bc,delay_0,-0.007734206221103763,-0.021604842447645087,0.006349022544121152,30
more_expert,bc,delay_2,-0.015066975641177555,-0.028976091943016095,-0.002803220495076841,30
more_updates,bc,delay_0,-0.0165983193306173,-0.030332942022625004,-0.006136132988097453,30
more_updates,bc,delay_2,-0.01128939801317858,-0.03979207238606471,0.014039303063344362,30
random,bc,delay_0,0.13671372849763125,0.09995547580963791,0.1753567788906856,30
teacher,bc,delay_0,-0.041140091124611936,-0.06024637104512739,-0.024151831056527354,30
zero,bc,delay_0,0.20761763885494078,0.17590680109834758,0.23893336056911227,30
