candidate,reference,condition,mean_delta,ci_low,ci_high,n_pairs
sac_10000,random,delay_0_g10,1041.1182512250962,946.0084478798275,1122.8610957535066,16
sac_10000,random,delay_0_g12,1100.4004283704421,1025.291513860946,1167.6929687449488,16
sac_10000,random,delay_2_g10,1028.1353885689082,939.2063385127203,1107.5374382467066,16
sac_10000,sac_2000,delay_0_g10,1088.0879024462852,1063.9543941686245,1111.8603512426098,16
sac_10000,sac_2000,delay_0_g12,1163.3889230656962,1148.1305171079746,1179.3029349632066,16
sac_10000,sac_2000,delay_2_g10,1297.2022995618254,1253.9474196604797,1332.8550688915575,16
