policy,condition,n,mean,ci_low,ci_high
random,delay_0_g10,6,-1170.7052839515823,-1334.6993419373332,-979.5719875380579
sac,delay_0_g10,6,-100.37771715758674,-122.20950329380905,-60.03648614622957
random,delay_2_g10,6,-1170.7052839515823,-1338.732389502199,-986.6214545838985
sac,delay_2_g10,6,-125.17922186515136,-184.24424791242427,-64.94964593357638
random,delay_0_g12,6,-1197.4108273596394,-1330.886596759568,-1063.0421719487686
sac,delay_0_g12,6,-118.21537805120697,-176.0461396123968,-60.12882792933303
