policy,condition,n,mean,ci_low,ci_high
random,delay_0_g10,3,-992.801775179615,-1228.8881246931578,-793.3408851395238
ppo,delay_0_g10,3,-919.1118498275515,-1153.3265123356616,-634.025114643666
random,delay_2_g10,3,-992.801775179615,-1228.8881246931578,-793.3408851395238
ppo,delay_2_g10,3,-883.7062692818881,-1164.251198851751,-516.8277073666711
random,delay_0_g12,3,-1049.5027068050451,-1142.6870568529532,-955.9273552991208
ppo,delay_0_g12,3,-1084.9172864023155,-1218.022406466339,-968.4529971429075
