policy,reference,condition,mean_delta,ci_low,ci_high,n_pairs
ppo,random,delay_0_g10,73.68992535206337,-176.64303736380327,322.1512010624972,3
ppo,random,delay_0_g12,-35.41457959727021,-112.34910029857906,17.457998976505905,3
ppo,random,delay_2_g10,109.09550589772687,-176.69901648771827,439.3486083394921,3
