policy,reference,condition,mean_delta,ci_low,ci_high,n_pairs
known_dynamics_mpc,random,action_repeat_3,967.5647946509732,780.3905871729888,1154.7390021289575,2
learned_dynamics_mpc,random,action_repeat_3,965.4115793189942,779.7636276031926,1151.0595310347958,2
