policy,condition,n,mean,ci_low,ci_high
random,action_repeat_3,2,-1029.0136426431902,-1275.680757004946,-782.3465282814345
known_dynamics_mpc,action_repeat_3,2,-61.44884799221709,-120.94175487598845,-1.9559411084457305
learned_dynamics_mpc,action_repeat_3,2,-63.602063324195996,-124.62122597015008,-2.5829006782419137
