step,train_normalized_mse,val_next_state_mse
1,1.0023387670516968,0.08555594831705093
31,0.43569672107696533,0.005943227093666792
61,0.20790497958660126,0.002863821107894182
91,0.09280400723218918,0.0010641757398843765
121,0.03413860872387886,0.0006339728715829551
151,0.013934622518718243,0.00043041459866799414
181,0.01298962626606226,0.00030606723157688975
211,0.008951139636337757,0.00023430703731719404
241,0.007325349375605583,0.00019090590649284422
271,0.005332671571522951,0.00014173320960253477
300,0.006247679237276316,0.00012296759814489633
