episode,horizon,angle_rmse_rad,velocity_rmse_rad_s,state_mse
2000,1,0.0034835555125027895,0.010425128042697906,4.027279283036478e-05
2000,5,0.018008913844823837,0.03713392838835716,0.0005677444278262556
2000,10,0.03971743956208229,0.07411404699087143,0.002356543904170394
2000,25,0.30821123719215393,0.814947247505188,0.2519407272338867
2001,1,0.006186032667756081,0.004951289389282465,2.0927398509229533e-05
2001,5,0.019358180463314056,0.031226608902215958,0.00044993823394179344
2001,10,0.050180722028017044,0.11230010539293289,0.00504229636862874
2001,25,0.07682804018259048,0.1523749679327011,0.009704074822366238
2002,1,0.0012445932952687144,0.0035974783822894096,4.830317266169004e-06
2002,5,0.0051503716967999935,0.013491233810782433,6.951301475055516e-05
2002,10,0.007329494692385197,0.02330041117966175,0.00019887695088982582
2002,25,0.008855045773088932,0.04790704697370529,0.0007911657448858023
2003,1,0.002593405544757843,0.005303346551954746,1.1617070413194597e-05
2003,5,0.012119990773499012,0.022627688944339752,0.00021963445760775357
2003,10,0.01719621755182743,0.04352506250143051,0.0007300428114831448
2003,25,0.039036162197589874,0.13011468946933746,0.006151014938950539
2004,1,0.0030942403245717287,0.0041680182330310345,8.982192412076984e-06
2004,5,0.013561856932938099,0.019672304391860962,0.0001903060037875548
2004,10,0.02950984798371792,0.05598949268460274,0.0013351691886782646
2004,25,0.32793155312538147,1.0732805728912354,0.4175131618976593
2005,1,0.004012074787169695,0.0062620798125863075,1.8436818209011108e-05
2005,5,0.010225208476185799,0.02411571703851223,0.00022870693646837026
2005,10,0.015054145827889442,0.05137127637863159,0.0009552074479870498
2005,25,0.056286171078681946,0.17009350657463074,0.010698720812797546
2006,1,0.0012524767080321908,0.0038832651916891336,5.549503839574754e-06
2006,5,0.0075033679604530334,0.011498384177684784,6.283757102210075e-05
2006,10,0.008541197516024113,0.03686854988336563,0.0004774136177729815
2006,25,0.014805944636464119,0.05105499550700188,0.0009419407579116523
2007,1,0.003381808754056692,0.0032720209565013647,7.380959232250461e-06
2007,5,0.007525547407567501,0.02338343672454357,0.00020113971550017595
2007,10,0.002449014922603965,0.04643029719591141,0.0007205901783891022
2007,25,0.028775839135050774,0.06230296567082405,0.0015698544448241591
2008,1,0.0010892088757827878,0.00315862731076777,3.7210804748610826e-06
2008,5,0.004769658669829369,0.015550229698419571,8.818655624054372e-05
2008,10,0.004981854930520058,0.025246476754546165,0.00022073443687986583
2008,25,0.011758187785744667,0.033965758979320526,0.00043064160854555666
2009,1,0.003404265735298395,0.005574776325374842,1.422236437065294e-05
2009,5,0.010158469900488853,0.023861965164542198,0.00022419553715735674
2009,10,0.012477000243961811,0.05170834809541702,0.0009431412327103317
2009,25,0.03293034806847572,0.11547046899795532,0.004805871285498142
