policy,condition,n,mean,ci_low,ci_high
random,action_repeat_3,8,-1203.0331870281952,-1331.8824036259714,-1050.6632245734513
known_mpc,action_repeat_3,8,-139.1575664789217,-187.29269451391016,-90.78156147293654
base_mpc,action_repeat_3,8,-139.1591246699968,-187.4149673053224,-91.62461758787725
more_updates,action_repeat_3,8,-139.3071362135779,-187.51636664250995,-91.40417586263646
more_random,action_repeat_3,8,-139.29235242553264,-187.8058259763314,-91.72400483338677
planner_data,action_repeat_3,8,-138.96442616559668,-186.72196369872364,-91.87126316709153
