phase,step,train_normalized_mse,val_next_state_mse
base,1,1.068865180015564,0.08432578295469284
base,101,0.05770517885684967,0.0008496486116200686
base,201,0.010152033530175686,0.0002428680018056184
base,301,0.005015478003770113,0.00011719477333826944
base,401,0.0033126852940768003,6.434167153201997e-05
base,501,0.0020343640353530645,5.187737770029344e-05
base,601,0.0015031638322398067,3.550659675966017e-05
base,701,0.0016275948146358132,2.678987402759958e-05
base,801,0.000982834491878748,2.2450292817666195e-05
base,901,0.0005854350747540593,2.451055661367718e-05
base,1000,0.0011611401569098234,1.78049122041557e-05
more_updates,1,0.0012326169526204467,0.0006463528261519969
more_updates,101,0.0004448293475434184,1.52928005263675e-05
more_updates,201,0.0008033031481318176,1.4104665751801804e-05
more_updates,301,0.0005510195624083281,1.7567343093105592e-05
more_updates,401,0.0006745227728970349,2.709835462155752e-05
more_updates,501,0.0006070007220841944,1.540564335300587e-05
more_updates,601,0.0009388851467519999,1.4937514606572222e-05
more_updates,701,0.0002350647555431351,1.6790683730505407e-05
more_updates,801,0.00016913357831072062,1.211735525430413e-05
more_updates,901,0.00022090059064794332,1.364286526950309e-05
more_updates,1000,0.000261960580246523,1.5207352589641232e-05
more_random,1,0.0010220742551609874,0.0007173516787588596
more_random,101,0.002070531714707613,2.46545623667771e-05
more_random,201,0.0004424455401021987,1.9119222997687757e-05
more_random,301,0.0004579727537930012,4.485924000618979e-05
more_random,401,0.0016117356717586517,3.7759498809464276e-05
more_random,501,0.0015122437616810203,5.259167301119305e-05
more_random,601,0.0007522382657043636,2.3789083570591174e-05
more_random,701,0.0010052601573988795,8.461244578938931e-05
more_random,801,0.0006736348732374609,3.9652975829085335e-05
more_random,901,0.0009229021961800754,4.9969941755989566e-05
more_random,1000,0.0010384274646639824,3.8091653550509363e-05
planner_data,1,0.0008307292591780424,0.0008798845810815692
planner_data,101,0.0002444848942104727,1.450647869205568e-05
planner_data,201,0.00024344965640921146,1.7334376025246456e-05
planner_data,301,0.00031703594140708447,3.0334109396790154e-05
planner_data,401,0.0002000282984226942,1.63123168022139e-05
planner_data,501,0.0014652378158643842,3.111284240731038e-05
planner_data,601,0.0001579089293954894,1.4208937500370666e-05
planner_data,701,0.001065320917405188,1.5042836821521632e-05
planner_data,801,0.0007756680715829134,1.4759518307982944e-05
planner_data,901,0.00011300054029561579,1.3510352800949477e-05
planner_data,1000,0.0013638666132465005,2.7089499781141058e-05
