episode,horizon,angle_rmse_rad,velocity_rmse_rad_s,state_mse,policy
2000,1,0.0034835555125027895,0.010425128042697906,4.027279283036478e-05,base_mpc
2000,5,0.018008913844823837,0.03713392838835716,0.0005677444278262556,base_mpc
2000,10,0.03971743956208229,0.07411404699087143,0.002356543904170394,base_mpc
2000,25,0.30821123719215393,0.814947247505188,0.2519407272338867,base_mpc
2001,1,0.006186032667756081,0.004951289389282465,2.0927398509229533e-05,base_mpc
2001,5,0.019358180463314056,0.031226608902215958,0.00044993823394179344,base_mpc
2001,10,0.050180722028017044,0.11230010539293289,0.00504229636862874,base_mpc
2001,25,0.07682804018259048,0.1523749679327011,0.009704074822366238,base_mpc
2002,1,0.0012445932952687144,0.0035974783822894096,4.830317266169004e-06,base_mpc
2002,5,0.0051503716967999935,0.013491233810782433,6.951301475055516e-05,base_mpc
2002,10,0.007329494692385197,0.02330041117966175,0.00019887695088982582,base_mpc
2002,25,0.008855045773088932,0.04790704697370529,0.0007911657448858023,base_mpc
2003,1,0.002593405544757843,0.005303346551954746,1.1617070413194597e-05,base_mpc
2003,5,0.012119990773499012,0.022627688944339752,0.00021963445760775357,base_mpc
2003,10,0.01719621755182743,0.04352506250143051,0.0007300428114831448,base_mpc
2003,25,0.039036162197589874,0.13011468946933746,0.006151014938950539,base_mpc
2004,1,0.0030942403245717287,0.0041680182330310345,8.982192412076984e-06,base_mpc
2004,5,0.013561856932938099,0.019672304391860962,0.0001903060037875548,base_mpc
2004,10,0.02950984798371792,0.05598949268460274,0.0013351691886782646,base_mpc
2004,25,0.32793155312538147,1.0732805728912354,0.4175131618976593,base_mpc
2005,1,0.004012074787169695,0.0062620798125863075,1.8436818209011108e-05,base_mpc
2005,5,0.010225208476185799,0.02411571703851223,0.00022870693646837026,base_mpc
2005,10,0.015054145827889442,0.05137127637863159,0.0009552074479870498,base_mpc
2005,25,0.056286171078681946,0.17009350657463074,0.010698720812797546,base_mpc
2006,1,0.0012524767080321908,0.0038832651916891336,5.549503839574754e-06,base_mpc
2006,5,0.0075033679604530334,0.011498384177684784,6.283757102210075e-05,base_mpc
2006,10,0.008541197516024113,0.03686854988336563,0.0004774136177729815,base_mpc
2006,25,0.014805944636464119,0.05105499550700188,0.0009419407579116523,base_mpc
2007,1,0.003381808754056692,0.0032720209565013647,7.380959232250461e-06,base_mpc
2007,5,0.007525547407567501,0.02338343672454357,0.00020113971550017595,base_mpc
2007,10,0.002449014922603965,0.04643029719591141,0.0007205901783891022,base_mpc
2007,25,0.028775839135050774,0.06230296567082405,0.0015698544448241591,base_mpc
2008,1,0.0010892088757827878,0.00315862731076777,3.7210804748610826e-06,base_mpc
2008,5,0.004769658669829369,0.015550229698419571,8.818655624054372e-05,base_mpc
2008,10,0.004981854930520058,0.025246476754546165,0.00022073443687986583,base_mpc
2008,25,0.011758187785744667,0.033965758979320526,0.00043064160854555666,base_mpc
2009,1,0.003404265735298395,0.005574776325374842,1.422236437065294e-05,base_mpc
2009,5,0.010158469900488853,0.023861965164542198,0.00022419553715735674,base_mpc
2009,10,0.012477000243961811,0.05170834809541702,0.0009431412327103317,base_mpc
2009,25,0.03293034806847572,0.11547046899795532,0.004805871285498142,base_mpc
2000,1,0.0009883317397907376,0.009469063952565193,3.0213361242203973e-05,more_updates
2000,5,0.006365879904478788,0.02863464690744877,0.00028682220727205276,more_updates
2000,10,0.01888500712811947,0.060540199279785156,0.001340573187917471,more_updates
2000,25,0.2181364744901657,0.5390162467956543,0.11249970644712448,more_updates
2001,1,0.0026382606010884047,0.005736575461924076,1.3289584785525221e-05,more_updates
2001,5,0.009489472955465317,0.03330349922180176,0.00039972332888282835,more_updates
2001,10,0.029933158308267593,0.08971460908651352,0.002981465542688966,more_updates
2001,25,0.05291236191987991,0.1458122581243515,0.008019884116947651,more_updates
2002,1,0.0015613274881616235,0.002208391670137644,2.438182718833559e-06,more_updates
2002,5,0.005330449435859919,0.011209056712687016,5.135206811246462e-05,more_updates
2002,10,0.005312982015311718,0.023621095344424248,0.0001953945029526949,more_updates
2002,25,0.005142686888575554,0.030411100015044212,0.00031709400354884565,more_updates
2003,1,0.0012562702177092433,0.005789884831756353,1.1700329196173698e-05,more_updates
2003,5,0.002525568939745426,0.0217057503759861,0.00015917271957732737,more_updates
2003,10,0.005548261571675539,0.02686980739235878,0.0002509231271687895,more_updates
2003,25,0.028832439333200455,0.09193278104066849,0.003094247542321682,more_updates
2004,1,0.0011333507718518376,0.002770304447039962,2.9863524559914367e-06,more_updates
2004,5,0.0064949835650622845,0.019987907260656357,0.00014723361528012902,more_updates
2004,10,0.01931696943938732,0.06251246482133865,0.0014269737293943763,more_updates
2004,25,0.2808043658733368,0.9334712624549866,0.3157287538051605,more_updates
2005,1,0.0014546739403158426,0.006134800147265196,1.3250634765427094e-05,more_updates
2005,5,0.006156155839562416,0.02365882322192192,0.00019921251805499196,more_updates
2005,10,0.016322843730449677,0.05894243344664574,0.0012468710774555802,more_updates
2005,25,0.0445813313126564,0.15838703513145447,0.009024365805089474,more_updates
2006,1,0.0007627664017491043,0.0031854326371103525,3.5762570860242704e-06,more_updates
2006,5,0.003126832190901041,0.010812821798026562,4.223131691105664e-05,more_updates
2006,10,0.005427366588264704,0.014756433665752411,8.240298484452069e-05,more_updates
2006,25,0.0017565595917403698,0.03104739636182785,0.0003223420644644648,more_updates
2007,1,0.0007900111959315836,0.003628011327236891,4.595529389916919e-06,more_updates
2007,5,0.0026877629570662975,0.01799101009964943,0.00011030010500689968,more_updates
2007,10,0.0062431395053863525,0.02612178958952427,0.000240441455389373,more_updates
2007,25,0.018785472959280014,0.04932589456439018,0.0009286368731409311,more_updates
2008,1,0.0011114634107798338,0.003051555482670665,3.515801608955371e-06,more_updates
2008,5,0.004191003739833832,0.013998880051076412,7.117757922969759e-05,more_updates
2008,10,0.005120489746332169,0.02189807966351509,0.00016858171147760004,more_updates
2008,25,0.003534242045134306,0.0410500094294548,0.000565864669624716,more_updates
2009,1,0.0010160236852243543,0.00550413690507412,1.0442592611070722e-05,more_updates
2009,5,0.0039866273291409016,0.019690344110131264,0.0001345342752756551,more_updates
2009,10,0.006805424112826586,0.03581029176712036,0.000442896707681939,more_updates
2009,25,0.018349463120102882,0.08617167919874191,0.0025874122511595488,more_updates
2000,1,0.0019378394354134798,0.014465468935668468,7.100171205820516e-05,more_random
2000,5,0.013831239193677902,0.08027404546737671,0.0022117358166724443,more_random
2000,10,0.035867076367139816,0.10987353324890137,0.00445263646543026,more_random
2000,25,0.43697577714920044,1.2785320281982422,0.6032284498214722,more_random
2001,1,0.0034393344540148973,0.004574180580675602,1.0917392501141876e-05,more_random
2001,5,0.014442344196140766,0.03607265278697014,0.0005032666376791894,more_random
2001,10,0.04096727818250656,0.10042168945074081,0.003920585848391056,more_random
2001,25,0.08585251867771149,0.2579928934574127,0.024639762938022614,more_random
2002,1,0.00158040935639292,0.004454605747014284,7.447007646987913e-06,more_random
2002,5,0.009288475848734379,0.01790015771985054,0.00013556332851294428,more_random
2002,10,0.01308425236493349,0.03535332530736923,0.0004736836126539856,more_random
2002,25,0.0123515659943223,0.07137106359004974,0.0017487959703430533,more_random
2003,1,0.0017824843525886536,0.005969107151031494,1.29358668345958e-05,more_random
2003,5,0.004558077082037926,0.02367071621119976,0.00019369293295312673,more_random
2003,10,0.008406035602092743,0.028932128101587296,0.0003025761980097741,more_random
2003,25,0.05636658892035484,0.17406277358531952,0.01115681603550911,more_random
2004,1,0.0014196549309417605,0.0062000020407140255,1.348514615528984e-05,more_random
2004,5,0.005766891408711672,0.015119309537112713,8.728347165742889e-05,more_random
2004,10,0.013202960602939129,0.042627912014722824,0.0006638176855631173,more_random
2004,25,0.14332105219364166,0.45853233337402344,0.07690324634313583,more_random
2005,1,0.0021619091276079416,0.007284778635948896,1.924735988723114e-05,more_random
2005,5,0.005041422788053751,0.02864653803408146,0.0002820132940541953,more_random
2005,10,0.011749212630093098,0.041280124336481094,0.0006140297628007829,more_random
2005,25,0.08232153952121735,0.290730744600296,0.030426116660237312,more_random
2006,1,0.001576238893903792,0.0053819166496396065,1.0483113328518812e-05,more_random
2006,5,0.006627279333770275,0.018584560602903366,0.00012976868310943246,more_random
2006,10,0.009727447293698788,0.03154214471578598,0.0003631768049672246,more_random
2006,25,0.011727595701813698,0.047086186707019806,0.0007848811219446361,more_random
2007,1,0.0011002301471307874,0.0048204706981778145,8.149152563419193e-06,more_random
2007,5,0.004200097639113665,0.03423291817307472,0.00039651113911531866,more_random
2007,10,0.012896869331598282,0.030048001557588577,0.0003564027138054371,more_random
2007,25,0.03157535195350647,0.06964139640331268,0.0019488713005557656,more_random
2008,1,0.001366028911434114,0.004191805142909288,6.479106104961829e-06,more_random
2008,5,0.00682765943929553,0.013005801476538181,7.192217890406027e-05,more_random
2008,10,0.010922812856733799,0.027713624760508537,0.00029578388785012066,more_random
