candidate,reference,condition,delta_cm,ci_low_cm,ci_high_cm,paired_episodes
dagger,bc,delay_0,-2.7995646086896673,-4.670316402851492,-1.2684058547587365,30
dagger,more_updates,delay_0,-1.1397326756279378,-1.988574522922318,-0.35016902397752736,30
dagger,more_expert,delay_0,-2.0261439865792914,-4.104292335373739,-0.39451179140745907,30
