step,train_normalized_mse,val_next_state_mse
1,1.1566967964172363,0.08473575115203857
151,0.016022788360714912,0.0004461880889721215
301,0.006244514137506485,0.00011820441432064399
451,0.002920291153714061,6.324518471956253e-05
601,0.001514784642495215,3.957841181545518e-05
751,0.0012805506121367216,2.3079843231244013e-05
901,0.0018776600481942296,1.6400661479565315e-05
1051,0.0009024650789797306,1.696985236776527e-05
1201,0.0004869824042543769,3.2330477552022785e-05
1351,0.00039232548442669213,1.1841391824418679e-05
1500,0.000722940603736788,1.6488696928718127e-05
