policy,condition,n,mean,ci_low,ci_high
random,action_repeat_3,5,-1126.4016188524631,-1290.2552864475547,-921.7933222083924
known_dynamics_mpc,action_repeat_3,5,-124.4717910769076,-199.41765868063658,-50.29910686102762
learned_dynamics_mpc,action_repeat_3,5,-125.01441318227566,-200.96592982978135,-50.4458303879795
