episode,horizon,state_mse
2000,1,2.9790176995447837e-05
2000,5,0.0007129441946744919
2000,10,0.002118069678544998
2000,25,0.1876351237297058
2001,1,1.4562517208105419e-05
2001,5,0.0002207904472015798
2001,10,0.0019313275115564466
2001,25,0.00797239225357771
2002,1,3.5017976642848225e-06
2002,5,6.468452193075791e-05
2002,10,0.00016771738592069596
2002,25,0.0006466687191277742
2003,1,5.4360643844120204e-06
2003,5,0.00012645917013287544
2003,10,0.00042308642878197134
2003,25,0.005131454207003117
2004,1,8.029227501538116e-06
2004,5,7.913893205113709e-05
2004,10,0.0007005736115388572
2004,25,0.2009788602590561
2005,1,1.1065731996495742e-05
2005,5,0.00018091406673192978
2005,10,0.0006218501948751509
2005,25,0.011266225017607212
2006,1,4.121679921809118e-06
2006,5,8.611355588072911e-05
2006,10,0.00015765819989610463
2006,25,0.0002515341911930591
2007,1,7.078931503201602e-06
2007,5,0.00033045595046132803
2007,10,0.0006205291138030589
2007,25,0.0009771034820005298
2008,1,5.405381216405658e-06
2008,5,9.556758595863357e-05
2008,10,9.716043859953061e-05
2008,25,0.00033005757723003626
2009,1,1.4067375559534412e-05
2009,5,0.00016399793094024062
2009,10,0.000671040266752243
2009,25,0.0028793159872293472
