policy,condition,seed,return,final_distance,last10_mean_distance,success
zero,delay_0,10000,-18.051874677211938,0.3610593992718864,0.3610564004204006,0
zero,delay_0,10001,-15.28862244107433,0.3057382393061134,0.3057429338083582,0
zero,delay_0,10002,-10.826558628735032,0.2166190047570114,0.21660697846414717,0
zero,delay_0,10003,-10.207573769128631,0.20409333439494698,0.20410129899192908,0
zero,delay_0,10004,-15.511534658399238,0.3102115309379702,0.31021415588318557,0
zero,delay_0,10005,-10.218927276657066,0.2044179798108225,0.20441258360044764,0
zero,delay_0,10006,-12.481814865195478,0.24962787501021358,0.24962902844525137,0
zero,delay_0,10007,-12.895211462918258,0.2580128822647519,0.2579980176426486,0
zero,delay_0,10008,-1.9436974239826486,0.03891655785467875,0.038910687538996194,0
zero,delay_0,10009,-5.429730712642345,0.10858827260491823,0.10858914713400322,0
zero,delay_0,10010,-1.9963565153595093,0.03986365460892357,0.03987234745229299,0
zero,delay_0,10011,-10.249936886398697,0.2049502670940236,0.20495691055864662,0
zero,delay_0,10012,-16.16430428895031,0.3232903893089257,0.3232898025328076,0
zero,delay_0,10013,-13.247907735089933,0.2649933479471594,0.26498853937973055,0
zero,delay_0,10014,-10.96013159891526,0.21926790761912904,0.2192589702674245,0
zero,delay_0,10015,-19.861180853236963,0.39723813715122763,0.39723615323406974,0
zero,delay_0,10016,-17.332198689499386,0.34670825976694886,0.3466994597562768,0
zero,delay_0,10017,-14.300429987933281,0.2859874984157078,0.2859903901874018,0
zero,delay_0,10018,-19.50857901028177,0.3901528514171719,0.3901554230549035,0
zero,delay_0,10019,-6.68972000108113,0.1339952478700529,0.13396773832246126,0
zero,delay_0,10020,-19.158738145850513,0.3831775005213424,0.38317712599103865,0
zero,delay_0,10021,-10.35379268518182,0.207101148500256,0.20709768572774837,0
zero,delay_0,10022,-19.678573347850858,0.39356024659140915,0.3935617897421197,0
zero,delay_0,10023,-10.457360983332128,0.20884201915836,0.20888383237562258,0
zero,delay_0,10024,-17.929908919965307,0.35861858345696784,0.3586157906291487,0
zero,delay_0,10025,-15.310589876060476,0.30627309826389615,0.30626472097655644,0
zero,delay_0,10026,-13.39702790046356,0.26805545550639065,0.2680397271770828,0
zero,delay_0,10027,-7.493885959840349,0.14989647583665067,0.14989390751588805,0
zero,delay_0,10028,-12.935392475671083,0.2585729634017447,0.2585914519105695,0
zero,delay_0,10029,-4.048293473141108,0.08095507276880165,0.08095655462703524,0
random,delay_0,10000,-38.89707982402235,0.10594753785601477,0.13512841072588536,0
random,delay_0,10001,-46.90537686749986,0.1109478283306087,0.12640686618824043,0
random,delay_0,10002,-44.61930889023456,0.34785082356640284,0.3648573892044342,0
random,delay_0,10003,-43.09861561584696,0.2590741158267423,0.2449445866913425,0
random,delay_0,10004,-38.66686913498943,0.16344847508099178,0.16093556050561955,0
random,delay_0,10005,-38.18711057330575,0.008181998521527635,0.011130737139761652,1
random,delay_0,10006,-41.436442679831906,0.2121073989727744,0.1307442224389903,0
random,delay_0,10007,-44.84630877197234,0.14883897161829315,0.24352147083861925,0
random,delay_0,10008,-39.98685612460496,0.2264221403797591,0.20295787452909103,0
random,delay_0,10009,-33.77939872171015,0.11335492793562825,0.11493856925328887,0
random,delay_0,10010,-52.352423785843875,0.240351599543372,0.30565830080340267,0
random,delay_0,10011,-40.91428575971992,0.0762922078535944,0.09913428201002841,0
random,delay_0,10012,-45.21923508804527,0.1432995491396964,0.08480856642469478,0
random,delay_0,10013,-46.478795126951844,0.0693339228552186,0.05219188015241448,0
random,delay_0,10014,-39.6752763057288,0.11982189837123623,0.16832922301398218,0
random,delay_0,10015,-42.96448292329031,0.31282505458768006,0.3160870154208576,0
random,delay_0,10016,-48.74550373220248,0.20794482174820553,0.283428895234166,0
random,delay_0,10017,-38.85868763543946,0.09059132379833697,0.1133122800836656,0
random,delay_0,10018,-45.94503685594259,0.09193586839554188,0.07901195859468539,0
random,delay_0,10019,-39.81811171897098,0.34095635106602273,0.30170693629490264,0
random,delay_0,10020,-51.88138193035234,0.3225511213753221,0.3410171689936399,0
random,delay_0,10021,-42.7684085327427,0.2645022712187052,0.21433791016552695,0
random,delay_0,10022,-43.10225534280122,0.32782015419265315,0.22148370218170932,0
random,delay_0,10023,-43.32467803988217,0.22478255527612553,0.17878544161113777,0
random,delay_0,10024,-49.407348480808196,0.022289804932791476,0.04164667240559681,0
random,delay_0,10025,-43.103120060914605,0.12649964256194643,0.16626274290276039,0
random,delay_0,10026,-43.71294929970927,0.28581884601365337,0.2120374643244633,0
random,delay_0,10027,-43.300062788487054,0.1533730350424205,0.18310445174529966,0
random,delay_0,10028,-41.45354540626302,0.10093689237400273,0.09434306847886301,0
random,delay_0,10029,-40.14726930057188,0.15666088596163427,0.15938859427183721,0
teacher,delay_0,10000,-5.515944692994032,0.00030899544658999345,0.0007027040788258748,1
teacher,delay_0,10001,-7.859248382017975,0.00039369662806606944,0.0008957234126123527,1
teacher,delay_0,10002,-2.883820463935931,0.00015479507119320034,0.0003520151398469428,1
teacher,delay_0,10003,-5.8372805385430615,0.00018188123924021998,0.00041360330873833965,1
teacher,delay_0,10004,-8.149847538970786,0.00043631255046238044,0.0009925909497961612,1
teacher,delay_0,10005,-6.840144100913385,0.00021657577207627492,0.0004924454986938531,1
teacher,delay_0,10006,-6.0681766624142535,0.00019597838613913136,0.0004457985361816747,1
teacher,delay_0,10007,-4.370111613357416,0.00020885300160703834,0.0004749984702328281,1
teacher,delay_0,10008,-1.2152292263678217,5.1127516209073425e-05,0.00011618941333343391,1
teacher,delay_0,10009,-3.526776210989948,0.00013661199340420525,0.00031049691081612326,1
teacher,delay_0,10010,-1.0118517054614364,3.861493550075162e-05,8.77681743929972e-05,1
teacher,delay_0,10011,-3.8192816029683763,0.00018842748214631928,0.00042842976581869906,1
teacher,delay_0,10012,-6.106979745157377,0.00027962564153119317,0.0006361468288669324,1
teacher,delay_0,10013,-5.409886300387427,0.00024259974794887002,0.0005518039830708877,1
teacher,delay_0,10014,-3.556755364407117,0.00017372516040786923,0.00039505703586737806,1
teacher,delay_0,10015,-7.324665631548457,0.00044301972690673387,0.0010072756936426461,1
teacher,delay_0,10016,-4.9730062589341975,0.00028176085893214854,0.0006407477904771468,1
teacher,delay_0,10017,-7.184453559795825,0.0003079689230206431,0.0007008280369873823,1
teacher,delay_0,10018,-6.537715479791118,0.0003921074983356178,0.00089164847781124,1
teacher,delay_0,10019,-3.500503856057838,0.0001175592136142531,0.0002672595499889015,1
teacher,delay_0,10020,-6.360777674453333,0.0003748159494478344,0.0008523442091682206,1
teacher,delay_0,10021,-3.086087056201939,0.00015572358805904663,0.00035411802174539265,1
teacher,delay_0,10022,-6.482828024976816,0.0003988496611351108,0.0009069386236944417,1
teacher,delay_0,10023,-2.423117965093914,0.00014840795593808412,0.000337470507746302,1
teacher,delay_0,10024,-5.288476576245895,0.0003030875890280412,0.000689241299334326,1
teacher,delay_0,10025,-5.515264961572022,0.0002445624966174936,0.0005563641172523334,1
teacher,delay_0,10026,-3.380879377859096,0.00019640510506670065,0.00044663329113307207,1
teacher,delay_0,10027,-4.420723249026485,0.0002053188977562185,0.0004666910585263104,1
teacher,delay_0,10028,-6.380913300257276,0.00020552529226706365,0.00046754685621021135,1
teacher,delay_0,10029,-1.6593643064142922,6.456056430839307e-05,0.00014677492079877042,1
bc,delay_0,10000,-5.948976393394938,0.024016837882958275,0.021921643055610212,1
bc,delay_0,10001,-12.617937081535292,0.1133086393014987,0.10588173594810572,0
bc,delay_0,10002,-2.80379921820611,0.004075778909091543,0.004127747185140962,1
bc,delay_0,10003,-6.568776895506168,0.05512804320984514,0.0466265627336747,0
bc,delay_0,10004,-10.28723847270811,0.12107246066741462,0.11542935240991622,0
bc,delay_0,10005,-7.411362433231568,0.04742966145711074,0.04700087011408083,0
bc,delay_0,10006,-7.546301342444839,0.11053829163420394,0.09373797343364891,0
bc,delay_0,10007,-4.608023954310194,0.004022941012366648,0.004971335411541332,1
bc,delay_0,10008,-1.2630745684146059,0.000699291886885358,0.0007963905105230547,1
bc,delay_0,10009,-3.9652672749149884,0.02619879047974324,0.023209164380646987,1
bc,delay_0,10010,-1.9476009590589214,0.02447764334302183,0.024785605481929047,1
bc,delay_0,10011,-4.137123627632211,0.008818168755494866,0.010191158392912755,1
bc,delay_0,10012,-5.985484612131193,0.006413542683408165,0.00651531979574442,1
bc,delay_0,10013,-5.453693862145966,0.014388981926249517,0.010471145496130882,1
bc,delay_0,10014,-3.579525651508744,0.004084443844135462,0.003450890811852818,1
bc,delay_0,10015,-14.148017917892213,0.20106845690114147,0.21326223646494807,0
bc,delay_0,10016,-5.174014294633746,0.016448298119644034,0.014557753728959583,1
bc,delay_0,10017,-8.607227565351055,0.1207309758307521,0.06756938654857401,0
bc,delay_0,10018,-7.278619464069733,0.08236291061928597,0.06251056206714238,0
bc,delay_0,10019,-4.0115671855720505,0.03072492301531246,0.027511339985058104,0
bc,delay_0,10020,-6.489513216429572,0.02136011215990863,0.01828686587186453,1
bc,delay_0,10021,-3.1305372705510015,0.005684734325676887,0.006261613003136432,1
bc,delay_0,10022,-8.525211947757331,0.21684367743541208,0.14195907312711908,0
bc,delay_0,10023,-2.7651300754345085,0.012252171659158019,0.012665392462595996,1
bc,delay_0,10024,-5.562733491101744,0.018040289207498998,0.015902368199188294,1
bc,delay_0,10025,-6.029859045165202,0.028900831742183174,0.025868071779310796,0
bc,delay_0,10026,-3.5655851345953202,0.010536731581812066,0.010056197508132542,1
bc,delay_0,10027,-4.444961841000113,0.0046894209587045365,0.0036697680852638597,1
bc,delay_0,10028,-8.310323234090955,0.10755386206232753,0.10467783177993953,0
bc,delay_0,10029,-1.6851727943694312,0.007449621834825102,0.006355031927277393,1
bc,delay_2,10000,-13.678613650375373,0.15770368908386928,0.1633862982708749,0
bc,delay_2,10001,-13.613035777816823,0.13081298963233057,0.11836502800754686,0
bc,delay_2,10002,-12.250577866691623,0.15138973205807316,0.28525302553020615,0
bc,delay_2,10003,-12.092806988545359,0.11240691664659218,0.13581555439357243,0
bc,delay_2,10004,-15.241541364780929,0.14188129499449068,0.1455891802645818,0
bc,delay_2,10005,-9.276543093998852,0.04264636226940537,0.041513105397180214,0
bc,delay_2,10006,-12.349993575115196,0.13682967025785014,0.14894571362195083,0
bc,delay_2,10007,-9.500180301347529,0.12393093396631794,0.12221543408015949,0
bc,delay_2,10008,-4.423601028367051,0.07157656289742628,0.07143340572700169,0
bc,delay_2,10009,-10.247086565340586,0.0669270890697861,0.10056461985777383,0
bc,delay_2,10010,-11.152290905141058,0.19235669666054972,0.3173020287530495,0
bc,delay_2,10011,-7.6612875903525905,0.08915189413471446,0.0830691191858079,0
bc,delay_2,10012,-13.163200106271317,0.0995728789968643,0.11405851872671517,0
bc,delay_2,10013,-9.73063764007771,0.07945974303981293,0.07765026477796372,0
bc,delay_2,10014,-8.845831514075016,0.15960828958519505,0.15542988178612893,0
bc,delay_2,10015,-18.06556702886859,0.20972562209626325,0.1959449230515492,0
bc,delay_2,10016,-13.2475465964418,0.1634220653295906,0.18154770228716813,0
bc,delay_2,10017,-15.73196160418604,0.10336354791201346,0.10349567247243145,0
bc,delay_2,10018,-15.316654882515936,0.1746597505193653,0.17010829259997737,0
bc,delay_2,10019,-11.122687100438723,0.062363729775617605,0.14363692038452835,0
bc,delay_2,10020,-14.639546093035893,0.1627776424114584,0.16727241861785694,0
bc,delay_2,10021,-11.501447389475915,0.23018877594156464,0.27644827634943436,0
bc,delay_2,10022,-15.345061301763769,0.17928741471962945,0.17450831073171783,0
bc,delay_2,10023,-11.173831334147094,0.3904665045336421,0.3400126611305304,0
bc,delay_2,10024,-13.493015786859404,0.16313731030898515,0.17013064780819254,0
bc,delay_2,10025,-12.152897941784829,0.101803481194094,0.1154115629523442,0
bc,delay_2,10026,-12.594785453368374,0.3398873870846619,0.35192778057790625,0
bc,delay_2,10027,-10.660745278897108,0.11793321612381515,0.14399809721632392,0
bc,delay_2,10028,-12.848082134835252,0.13035249958625134,0.14410898700520264,0
bc,delay_2,10029,-9.982121791071489,0.36285035774286833,0.34028366014582173,0
more_updates,delay_0,10000,-5.836927227065423,0.013063361915342355,0.013222097880777568,1
more_updates,delay_0,10001,-11.770014437265733,0.10174619673935359,0.10203723029862896,0
more_updates,delay_0,10002,-2.7754477431529456,0.0005963988054302223,0.0008131233173159774,1
more_updates,delay_0,10003,-6.482666572541201,0.04279931900758551,0.03670579711345353,0
more_updates,delay_0,10004,-8.579085336102493,0.12377827650365786,0.0851007156772817,0
more_updates,delay_0,10005,-7.101312701070404,0.0438112837959033,0.04278852430676476,0
more_updates,delay_0,10006,-7.345904212240677,0.08161443169928735,0.06558539368557925,0
more_updates,delay_0,10007,-4.877415632430763,0.01329128010035835,0.01292812401541037,1
more_updates,delay_0,10008,-1.4424679664247746,0.010715077122604846,0.010544945670348135,1
more_updates,delay_0,10009,-3.6930554746952096,0.006213689547841923,0.005857299015884649,1
more_updates,delay_0,10010,-2.019451705475281,0.04514632979334665,0.03942409857256571,0
more_updates,delay_0,10011,-4.069439448822885,0.007340441736279499,0.006829323045578361,1
more_updates,delay_0,10012,-6.013558253659542,0.009918463319604486,0.008718860678743607,1
more_updates,delay_0,10013,-5.531879147481356,0.018729299198109155,0.014559658053927676,1
more_updates,delay_0,10014,-3.6422672237401983,0.0019298853599309892,0.001758347177342375,1
more_updates,delay_0,10015,-9.08909476723973,0.0867269113392528,0.05883406064842234,0
more_updates,delay_0,10016,-5.047854953049238,0.010659697768834717,0.010816752178929091,1
more_updates,delay_0,10017,-8.208609767772609,0.08243069184269015,0.05491974011172699,0
more_updates,delay_0,10018,-6.668679158616628,0.020319558189873188,0.0182048656538664,1
more_updates,delay_0,10019,-3.7366652369428257,0.01084432354092643,0.01075584475257461,1
more_updates,delay_0,10020,-6.437259142501844,0.01418583088099172,0.01256139465079283,1
more_updates,delay_0,10021,-3.044355283670294,0.0013972026234897073,0.0011898169029550404,1
more_updates,delay_0,10022,-6.789730056967427,0.03116959988414074,0.026590431578221073,0
more_updates,delay_0,10023,-2.40009853479932,0.0003695379528253177,0.0005404516589635791,1
more_updates,delay_0,10024,-5.385231119870964,0.009387590828989767,0.009123120748632786,1
more_updates,delay_0,10025,-5.720678982762538,0.011576447151137901,0.010791080645137731,1
more_updates,delay_0,10026,-3.498003106199947,0.004629097550741881,0.005001308824564595,1
more_updates,delay_0,10027,-4.512328603435547,0.0024248502532206047,0.0016052719283485904,1
more_updates,delay_0,10028,-7.859020789910159,0.09317416392586265,0.07542249875756699,0
more_updates,delay_0,10029,-1.8422924982862925,0.011124211108861151,0.009050630231145239,1
more_updates,delay_2,10000,-14.473036926217446,0.12619032404225683,0.23607033151177143,0
more_updates,delay_2,10001,-15.396877064765404,0.1354261726415373,0.1381910282577971,0
more_updates,delay_2,10002,-9.193018478020994,0.29050887947644644,0.23804216458684513,0
more_updates,delay_2,10003,-13.097710890048127,0.1245826543349543,0.1581384730049508,0
more_updates,delay_2,10004,-15.477243199829235,0.14419769640387664,0.14619834789761105,0
more_updates,delay_2,10005,-8.16169514585163,0.013800119066205865,0.017065183941982663,1
more_updates,delay_2,10006,-13.56945831230137,0.14291306715370655,0.1575331233008436,0
more_updates,delay_2,10007,-8.214843316761925,0.09536511860186671,0.08914220427033477,0
more_updates,delay_2,10008,-3.371698196762942,0.03299213093144878,0.03366602402986194,0
more_updates,delay_2,10009,-11.110948472448937,0.04188871457943564,0.09312871469852597,0
more_updates,delay_2,10010,-11.803366252982126,0.25426017846043714,0.3546041822497835,0
more_updates,delay_2,10011,-6.508480049032639,0.02365482317391456,0.024932109367819054,1
more_updates,delay_2,10012,-12.784149213244238,0.12808857857518133,0.13257345142915483,0
more_updates,delay_2,10013,-9.007461581555559,0.0665177862648808,0.0649830035148515,0
more_updates,delay_2,10014,-8.731688983959256,0.18232819547193013,0.16013170452808168,0
more_updates,delay_2,10015,-16.873985418086452,0.1806745059713153,0.18356338292699265,0
more_updates,delay_2,10016,-15.107072531604805,0.3024837323137434,0.3519435445382234,0
