policy,condition,seed,return,upright_fraction
sac_2000,delay_2_g10,10013,-1322.0573035879738,0.0
sac_2000,delay_2_g10,10014,-1563.3540325971724,0.0
sac_2000,delay_2_g10,10015,-1072.6765823226942,0.115
sac_10000,delay_2_g10,10000,-4.115968029900444,1.0
sac_10000,delay_2_g10,10001,-121.78438179528371,0.865
sac_10000,delay_2_g10,10002,-129.43083216735005,0.825
sac_10000,delay_2_g10,10003,-122.84075956839253,0.86
sac_10000,delay_2_g10,10004,-129.100218315475,0.805
sac_10000,delay_2_g10,10005,-243.80317131450644,0.695
sac_10000,delay_2_g10,10006,-255.94708862029154,0.725
sac_10000,delay_2_g10,10007,-131.59509153547725,0.875
sac_10000,delay_2_g10,10008,-131.07575958905647,0.775
sac_10000,delay_2_g10,10009,-4.4481187929024815,1.0
sac_10000,delay_2_g10,10010,-238.10076828980306,0.75
sac_10000,delay_2_g10,10011,-4.369525191216425,1.0
sac_10000,delay_2_g10,10012,-235.69739327782526,0.775
sac_10000,delay_2_g10,10013,-5.38878121973615,0.96
sac_10000,delay_2_g10,10014,-265.08216112532415,0.73
sac_10000,delay_2_g10,10015,-4.401998728722437,1.0
random,delay_0_g12,10000,-957.10035967317,0.045
random,delay_0_g12,10001,-1235.4804054428448,0.0
random,delay_0_g12,10002,-955.9273552991208,0.06
random,delay_0_g12,10003,-1317.919525788585,0.0
random,delay_0_g12,10004,-1395.6154134969897,0.0
random,delay_0_g12,10005,-1322.421904457126,0.0
random,delay_0_g12,10006,-1481.310597769475,0.0
random,delay_0_g12,10007,-1366.704384132658,0.0
random,delay_0_g12,10008,-1105.4130259688932,0.0
random,delay_0_g12,10009,-854.4748380120697,0.11
random,delay_0_g12,10010,-1422.881660333622,0.0
random,delay_0_g12,10011,-867.9103857846436,0.06
random,delay_0_g12,10012,-1423.2437665146479,0.0
random,delay_0_g12,10013,-1271.069518694707,0.0
random,delay_0_g12,10014,-1474.1968167125126,0.0
random,delay_0_g12,10015,-1152.8179228677957,0.01
sac_0,delay_0_g12,10000,-1172.6983193154213,0.03
sac_0,delay_0_g12,10001,-1109.2997925481015,0.0
sac_0,delay_0_g12,10002,-1198.4831502960003,0.0
sac_0,delay_0_g12,10003,-1196.3750893631604,0.0
sac_0,delay_0_g12,10004,-1317.442944135821,0.0
